f,m,n,declension
corporea,corporeus,corporeum,I_II
corrupta,corruptus,corruptum,I_II
corusca,coruscus,coruscum,I_II
Corybantia,Corybantius,Corybantium,I_II
Corymbifera,Corymbifer,Corymbiferum,I_II
cothurnāta,cothurnātus,cothurnātum,I_II
cottīdiāna,cottīdiānus,cottīdiānum,I_II
Cōa,Cōus,Cōum,I_II
crassa,crassus,crassum,I_II
crāstina,crāstinus,crāstinum,I_II
crēbera,crēber,crēberum,I_II
crēdibilis,crēdibilis,crēdibile,III
crēdula,crēdulus,crēdulum,I_II
crepidāta,crepidātus,crepidātum,I_II
Crēsia,Crēsius,Crēsium,I_II
Crēssaa,Crēssa,Crēssaum,I_II
crētāta,crētātus,crētātum,I_II
crētōsa,crētōsus,crētōsum,I_II
crīminōsa,crīminōsus,crīminōsum,I_II
crīnālis,crīnālis,crīnāle,III
crīnīta,crīnītus,crīnītum,I_II
crīspisulcāns,crīspisulcāns,crīspisulcāns,III
crīspa,crīspus,crīspum,I_II
cristāta,cristātus,cristātum,I_II
crocea,croceus,croceum,I_II
crocina,crocinus,crocinum,I_II
crūdēlis,crūdēlis,crūdēle,III
crūda,crūdus,crūdum,I_II
cruenta,cruentus,cruentum,I_II
cubiculāris,cubiculāris,cubiculāre,III
cubitālis,cubitālis,cubitāle,III
cūia,cūius,cūium,I_II
culpāta,culpātus,culpātum,I_II
culta,cultus,cultum,I_II
cumulāta,cumulātus,cumulātum,I_II
cunctābunda,cunctābundus,cunctābundum,I_II
cunctāns,cunctāns,cunctāns,III
cūncta,cūnctus,cūnctum,I_II
cuneāta,cuneātus,cuneātum,I_II
cunīculōsa,cunīculōsus,cunīculōsum,I_II
Cupīdinea,Cupīdineus,Cupīdineum,I_II
cupida,cupidus,cupidum,I_II
cupiēns,cupiēns,cupiēns,III
cupressea,cupresseus,cupresseum,I_II
cupressifera,cupressifer,cupressiferum,I_II
cūrābilis,cūrābilis,cūrābile,III
cūrāta,cūrātus,cūrātum,I_II
cūriāta,cūriātus,cūriātum,I_II
cūriōsa,cūriōsus,cūriōsum,I_II
curta,curtus,curtum,I_II
curūlis,curūlis,curūle,III
curva,curvus,curvum,I_II
cybaea,cybaeus,cybaeum,I_II
cȳclica,cȳclicus,cȳclicum,I_II
cycnēa,cycnēus,cycnēum,I_II
Cyllēnia,Cyllēnius,Cyllēnium,I_II
cynica,cynicus,cynicum,I_II
Cytōriaca,Cytōriacus,Cytōriacum,I_II
dactylica,dactylicus,dactylicum,I_II
daedala,daedalus,daedalum,I_II
damnātōria,damnātōrius,damnātōrium,I_II
damnāta,damnātus,damnātum,I_II
damnōsa,damnōsus,damnōsum,I_II
dēbilis,dēbilis,dēbile,III
dēbita,dēbitus,dēbitum,I_II
December,December,December,III
decemplex,decemplex,decemplex,III
decemscalma,decemscalmus,decemscalmum,I_II
decemvirālis,decemvirālis,decemvirāle,III
decēns,decēns,decēns,III
decima,decimus,decimum,I_II
dēclāmātōria,dēclāmātōrius,dēclāmātōrium,I_II
dēclīvis,dēclīvis,dēclīve,III
dēcocta,dēcoctus,dēcoctum,I_II
dēcolor,dēcolor,dēcolor,III
decōra,decōrus,decōrum,I_II
dēcrepita,dēcrepitus,dēcrepitum,I_II
decumāna,decumānus,decumānum,I_II
decumātesa,decumātes,decumātesum,I_II
dēcurtāta,dēcurtātus,dēcurtātum,I_II
dēdecōra,dēdecōrus,dēdecōrum,I_II
dēditīcia,dēditīcius,dēditīcium,I_II
dēdita,dēditus,dēditum,I_II
dēducta,dēductus,dēductum,I_II
dēfecta,dēfectus,dēfectum,I_II
dēfessa,dēfessus,dēfessum,I_II
dēfīnītīva,dēfīnītīvus,dēfīnītīvum,I_II
dēfīnīta,dēfīnītus,dēfīnītum,I_II
dēfōrmis,dēfōrmis,dēfōrme,III
dēfrēnāta,dēfrēnātus,dēfrēnātum,I_II
dēfūtūta,dēfūtūtus,dēfūtūtum,I_II
dēgener,dēgener,dēgener,III
dēiecta,dēiectus,dēiectum,I_II
dēlectābilis,dēlectābilis,dēlectābile,III
dēlēcta,dēlēctus,dēlēctum,I_II
dēlīberābunda,dēlīberābundus,dēlīberābundum,I_II
dēlīberātīva,dēlīberātīvus,dēlīberātīvum,I_II
dēlīberāta,dēlīberātus,dēlīberātum,I_II
dēlibūta,dēlibūtus,dēlibūtum,I_II
dēlicāta,dēlicātus,dēlicātum,I_II
dēlīra,dēlīrus,dēlīrum,I_II
dēmēns,dēmēns,dēmēns,III
dēmissa,dēmissus,dēmissum,I_II
dēmōnstrātīva,dēmōnstrātīvus,dēmōnstrātīvum,I_II
dēmūgīta,dēmūgītus,dēmūgītum,I_II
dēnāria,dēnārius,dēnārium,I_II
dēnicālis,dēnicālis,dēnicāle,III
dēnsa,dēnsus,dēnsum,I_II
dentāta,dentātus,dentātum,I_II
dēna,dēnus,dēnum,I_II
dēprecābunda,dēprecābundus,dēprecābundum,I_II
dēpressa,dēpressus,dēpressum,I_II
dēpūgis,dēpūgis,dēpūge,III
dērēcta,dērēctus,dērēctum,I_II
dērelicta,dērelictus,dērelictum,I_II
dērīdīcula,dērīdīculus,dērīdīculum,I_II
dērupta,dēruptus,dēruptum,I_II
dēscrīpta,dēscrīptus,dēscrīptum,I_II
dēserta,dēsertus,dēsertum,I_II
dēsīderābilis,dēsīderābilis,dēsīderābile,III
dēsidiōsa,dēsidiōsus,dēsidiōsum,I_II
dēsipiēns,dēsipiēns,dēsipiēns,III
dēspecta,dēspectus,dēspectum,I_II
dēspērāta,dēspērātus,dēspērātum,I_II
dēspicāta,dēspicātus,dēspicātum,I_II
dēspiciēns,dēspiciēns,dēspiciēns,III
dēspicienda,dēspiciendus,dēspiciendum,I_II
dēstināta,dēstinātus,dēstinātum,I_II
dēstricta,dēstrictus,dēstrictum,I_II
dēsuēfacta,dēsuēfactus,dēsuēfactum,I_II
dēsuēta,dēsuētus,dēsuētum,I_II
dēsultōria,dēsultōrius,dēsultōrium,I_II
dēteriora,dēterior,dēteriorum,I_II
dētestābilis,dētestābilis,dētestābile,III
detestanda,detestandus,detestandum,I_II
dētestāta,dētestātus,dētestātum,I_II
dētrīmentōsa,dētrīmentōsus,dētrīmentōsum,I_II
dēvexa,dēvexus,dēvexum,I_II
dēvincta,dēvinctus,dēvinctum,I_II
dēvia,dēvius,dēvium,I_II
dēvōta,dēvōtus,dēvōtum,I_II
dextera,dexter,dexterum,I_II
dialectica,dialecticus,dialecticum,I_II
Diālis,Diālis,Diāle,III
dicāx,dicāx,dicāx,III
dictātōria,dictātōrius,dictātōrium,I_II
differta,differtus,differtum,I_II
difficilis,difficilis,difficile,III
diffūsa,diffūsus,diffūsum,I_II
diffutūta,diffutūtus,diffutūtum,I_II
dīgna,dīgnus,dīgnum,I_II
dīlēcta,dīlēctus,dīlēctum,I_II
dīligēns,dīligēns,dīligēns,III
dīlūcida,dīlūcidus,dīlūcidum,I_II
dīlūta,dīlūtus,dīlūtum,I_II
dīmidiāta,dīmidiātus,dīmidiātum,I_II
dīmidia,dīmidius,dīmidium,I_II
dīra,dīrus,dīrum,I_II
dīs,dīs,dīs,III
discincta,discinctus,discinctum,I_II
discolor,discolor,discolor,III
discordiōsa,discordiōsus,discordiōsum,I_II
discors,discors,discors,III
diserta,disertus,disertum,I_II
disiūncta,disiūnctus,disiūnctum,I_II
dispālāta,dispālātus,dispālātum,I_II
dispār,dispār,dispār,III
disparilis,disparilis,disparile,III
dissentānea,dissentāneus,dissentāneum,I_II
dissimilis,dissimilis,dissimile,III
dissipābilis,dissipābilis,dissipābile,III
dissipāta,dissipātus,dissipātum,I_II
dissociābilis,dissociābilis,dissociābile,III
dissolūbilis,dissolūbilis,dissolūbile,III
dissolūta,dissolūtus,dissolūtum,I_II
dissona,dissonus,dissonum,I_II
dissors,dissors,dissors,III
dīstāns,dīstāns,dīstāns,III
distenta,distentus,distentum,I_II
distenta,distentus,distentum,I_II
dīstincta,dīstinctus,dīstinctum,I_II
distorta,distortus,distortum,I_II
dīstricta,dīstrictus,dīstrictum,I_II
dīthyrambica,dīthyrambicus,dīthyrambicum,I_II
diurna,diurnus,diurnum,I_II
dīa,dīus,dīum,I_II
diūtina,diūtinus,diūtinum,I_II
diūturna,diūturnus,diūturnum,I_II
dīversa,dīversus,dīversum,I_II
dīves,dīves,dīves,III
dīvidua,dīviduus,dīviduum,I_II
dīvīna,dīvīnus,dīvīnum,I_II
dīvolgāta,dīvolgātus,dīvolgātum,I_II
dīva,dīvus,dīvum,I_II
docilis,docilis,docile,III
docta,doctus,doctum,I_II
dōdrantāria,dōdrantārius,dōdrantārium,I_II
dolēns,dolēns,dolēns,III
dolōsa,dolōsus,dolōsum,I_II
domābilis,domābilis,domābile,III
domestica,domesticus,domesticum,I_II
domināns,domināns,domināns,III
dōtālis,dōtālis,dōtāle,III
dōtāta,dōtātus,dōtātum,I_II
dubitābilis,dubitābilis,dubitābile,III
dubitāns,dubitāns,dubitāns,III
dubia,dubius,dubium,I_II
ducentēsima,ducentēsimus,ducentēsimum,I_II
dulcicula,dulciculus,dulciculum,I_II
dulcis,dulcis,dulce,III
dūmōsa,dūmōsus,dūmōsum,I_II
duodecima,duodecimus,duodecimum,I_II
duodēnīa,duodēnī,duodēnīum,I_II
duodēquadrāgēsima,duodēquadrāgēsimus,duodēquadrāgēsimum,I_II
duodēquīnquāgēsima,duodēquīnquāgēsimus,duodēquīnquāgēsimum,I_II
duodētrīgintāa,duodētrīgintā,duodētrīgintāum,I_II
duodēvīcēnīa,duodēvīcēnī,duodēvīcēnīum,I_II
duoetvīcēsima,duoetvīcēsimus,duoetvīcēsimum,I_II
duplex,duplex,duplex,III
dupla,duplus,duplum,I_II
dūrābilis,dūrābilis,dūrābile,III
dūra,dūrus,dūrum,I_II
ēbriōsa,ēbriōsus,ēbriōsum,I_II
ēbria,ēbrius,ēbrium,I_II
eburneola,eburneolus,eburneolum,I_II
eburnea,eburneus,eburneum,I_II
eburna,eburnus,eburnum,I_II
Echidnēa,Echidnēus,Echidnēum,I_II
ecquīa,ecquī,ecquīum,I_II
edāx,edāx,edāx,III
ēditīcia,ēditīcius,ēditīcium,I_II
ēdita,ēditus,ēditum,I_II
edūlis,edūlis,edūle,III
ēdūra,ēdūrus,ēdūrum,I_II
effēmināta,effēminātus,effēminātum,I_II
efferāta,efferātus,efferātum,I_II
efferta,effertus,effertum,I_II
effera,efferus,efferum,I_II
effēta,effētus,effētum,I_II
efficāx,efficāx,efficāx,III
efficiēns,efficiēns,efficiēns,III
effrēnāta,effrēnātus,effrēnātum,I_II
effrēna,effrēnus,effrēnum,I_II
effūsa,effūsus,effūsum,I_II
ēgelida,ēgelidus,ēgelidum,I_II
egēns,egēns,egēns,III
egēna,egēnus,egēnum,I_II
ēgregia,ēgregius,ēgregium,I_II
ēlabōrāta,ēlabōrātus,ēlabōrātum,I_II
ēlāmentābilis,ēlāmentābilis,ēlāmentābile,III
ēlāta,ēlātus,ēlātum,I_II
ēlēcta,ēlēctus,ēlēctum,I_II
ēlegāns,ēlegāns,ēlegāns,III
ēlinguis,ēlinguis,ēlingue,III
ēlixa,ēlixus,ēlixum,I_II
ēloquēns,ēloquēns,ēloquēns,III
ēlumbis,ēlumbis,ēlumbe,III
emāx,emāx,emāx,III
ēmendābilis,ēmendābilis,ēmendābile,III
ēmendāta,ēmendātus,ēmendātum,I_II
ēmerita,ēmeritus,ēmeritum,I_II
ēminēns,ēminēns,ēminēns,III
ēnārrābilis,ēnārrābilis,ēnārrābile,III
ēnervāta,ēnervātus,ēnervātum,I_II
ēnervis,ēnervis,ēnerve,III
ēnīxa,ēnīxus,ēnīxum,I_II
ēnōdis,ēnōdis,ēnōde,III
ēnōrmis,ēnōrmis,ēnōrme,III
ēnsigera,ēnsiger,ēnsigerum,I_II
ēnucleāta,ēnucleātus,ēnucleātum,I_II
Eōa,Eōus,Eōum,I_II
ēpāsta,ēpāstus,ēpāstum,I_II
ephippiāta,ephippiātus,ephippiātum,I_II
epicōpa,epicōpus,epicōpum,I_II
epica,epicus,epicum,I_II
epidīctica,epidīcticus,epidīcticum,I_II
epulāris,epulāris,epulāre,III
equester,equester,equester,III
equīna,equīnus,equīnum,I_II
equitābilis,equitābilis,equitābile,III
ērēcta,ērēctus,ērēctum,I_II
erīlis,erīlis,erīle,III
errābunda,errābundus,errābundum,I_II
errātica,errāticus,errāticum,I_II
ērudītula,ērudītulus,ērudītulum,I_II
ērudīta,ērudītus,ērudītum,I_II
ēsculenta,ēsculentus,ēsculentum,I_II
ēthologa,ēthologus,ēthologum,I_II
eurōa,eurōus,eurōum,I_II
ēvalida,ēvalidus,ēvalidum,I_II
ēvānida,ēvānidus,ēvānidum,I_II
ēvidēns,ēvidēns,ēvidēns,III
ēvītābilis,ēvītābilis,ēvītābile,III
ēvocāta,ēvocātus,ēvocātum,I_II
exācta,exāctus,exāctum,I_II
exaeresima,exaeresimus,exaeresimum,I_II
exanimis,exanimis,exanime,III
exanima,exanimus,exanimum,I_II
excellēns,excellēns,excellēns,III
excelsa,excelsus,excelsum,I_II
excitāta,excitātus,excitātum,I_II
excors,excors,excors,III
excūsābilis,excūsābilis,excūsābile,III
excussa,excussus,excussum,I_II
exercitāta,exercitātus,exercitātum,I_II
exercita,exercitus,exercitum,I_II
exhērēs,exhērēs,exhērēs,III
exhilarāta,exhilarātus,exhilarātum,I_II
exigua,exiguus,exiguum,I_II
exīlis,exīlis,exīle,III
eximia,eximius,eximium,I_II
exitiābilis,exitiābilis,exitiābile,III
exitiālis,exitiālis,exitiāle,III
exitiōsa,exitiōsus,exitiōsum,I_II
exlēx,exlēx,exlēx,III
exoptāta,exoptātus,exoptātum,I_II
exōrābilis,exōrābilis,exōrābile,III
expedīta,expedītus,expedītum,I_II
experiēns,experiēns,experiēns,III
expers,expers,expers,III
experta,expertus,expertum,I_II
expetenda,expetendus,expetendum,I_II
expetēns,expetēns,expetēns,III
explānāta,explānātus,explānātum,I_II
explēta,explētus,explētum,I_II
explicāta,explicātus,explicātum,I_II
explōrāta,explōrātus,explōrātum,I_II
expolīta,expolītus,expolītum,I_II
exposita,expositus,expositum,I_II
expressa,expressus,expressum,I_II
exprōmpta,exprōmptus,exprōmptum,I_II
expūgnābilis,expūgnābilis,expūgnābile,III
exquīsīta,exquīsītus,exquīsītum,I_II
exsanguis,exsanguis,exsangue,III
exsaturābilis,exsaturābilis,exsaturābile,III
exsecrābilis,exsecrābilis,exsecrābile,III
exsecrāta,exsecrātus,exsecrātum,I_II
exsequiālis,exsequiālis,exsequiāle,III
exsiccāta,exsiccātus,exsiccātum,I_II
exsomnis,exsomnis,exsomne,III
exsors,exsors,exsors,III
exspectāta,exspectātus,exspectātum,I_II
exspēs,exspēs,exspēs,III
exstincta,exstinctus,exstinctum,I_II
exsultāns,exsultāns,exsultāns,III
exsuperābilis,exsuperābilis,exsuperābile,III
extemporālis,extemporālis,extemporāle,III
extenta,extentus,extentum,I_II
extenuāta,extenuātus,extenuātum,I_II
exteriora,exterior,exteriorum,I_II
externa,externus,externum,I_II
extima,extimus,extimum,I_II
extorris,extorris,extorre,III
extorta,extortus,extortum,I_II
extrānea,extrāneus,extrāneum,I_II
extraōrdināria,extraōrdinārius,extraōrdinārium,I_II
extrāria,extrārius,extrārium,I_II
extrēma,extrēmus,extrēmum,I_II
extumefacta,extumefactus,extumefactum,I_II
exundāns,exundāns,exundāns,III
fabālis,fabālis,fabāle,III
fabera,faber,faberum,I_II
fabrēfacta,fabrēfactus,fabrēfactum,I_II
fabrīlis,fabrīlis,fabrīle,III
fābulōsa,fābulōsus,fābulōsum,I_II
facēta,facētus,facētum,I_II
facilis,facilis,facile,III
facinorōsa,facinorōsus,facinorōsum,I_II
facteona,facteon,facteonum,I_II
factiōsa,factiōsus,factiōsum,I_II
facta,factus,factum,I_II
fācunda,fācundus,fācundum,I_II
faenebris,faenebris,faenebre,III
fāginea,fāgineus,fāgineum,I_II
fāgina,fāginus,fāginum,I_II
falcāta,falcātus,falcātum,I_II
falcifera,falcifer,falciferum,I_II
Falerna,Falernus,Falernum,I_II
fallāciloqua,fallāciloquus,fallāciloquum,I_II
fallāx,fallāx,fallāx,III
falsiparēns,falsiparēns,falsiparēns,III
falsa,falsus,falsum,I_II
famēlica,famēlicus,famēlicum,I_II
familiāris,familiāris,familiāre,III
fāmōsa,fāmōsus,fāmōsum,I_II
famulāris,famulāris,famulāre,III
famula,famulus,famulum,I_II
fānātica,fānāticus,fānāticum,I_II
fanda,fandus,fandum,I_II
farrāta,farrātus,farrātum,I_II
fastīdiōsa,fastīdiōsus,fastīdiōsum,I_II
fastīgāta,fastīgātus,fastīgātum,I_II
fāsta,fāstus,fāstum,I_II
fātālis,fātālis,fātāle,III
fāticana,fāticanus,fāticanum,I_II
fātidica,fātidicus,fātidicum,I_II
fātifera,fātifer,fātiferum,I_II
fātiloqua,fātiloquus,fātiloquum,I_II
fatua,fatuus,fatuum,I_II
fausta,faustus,faustum,I_II
favēns,favēns,favēns,III
favōrābilis.a,favōrābilis.,favōrābilis.um,I_II
febrīculōsa,febrīculōsus,febrīculōsum,I_II
Februāria,Februārius,Februārium,I_II
fēcunda,fēcundus,fēcundum,I_II
fēlīx,fēlīx,fēlīx,III
fēminea,fēmineus,fēmineum,I_II
fērālis,fērālis,fērāle,III
ferāx,ferāx,ferāx,III
fēriāta,fēriātus,fēriātum,I_II
ferīna,ferīnus,ferīnum,I_II
ferōx,ferōx,ferōx,III
ferrāta,ferrātus,ferrātum,I_II
ferrea,ferreus,ferreum,I_II
ferrūginea,ferrūgineus,ferrūgineum,I_II
fertilis,fertilis,fertile,III
fera,ferus,ferum,I_II
fervefacta,fervefactus,fervefactum,I_II
fervēns,fervēns,fervēns,III
fervida,fervidus,fervidum,I_II
Fescinnīna,Fescinnīnus,Fescinnīnum,I_II
fessa,fessus,fessum,I_II
fēstīnāns,fēstīnāns,fēstīnāns,III
fēstīna,fēstīnus,fēstīnum,I_II
fēstīva,fēstīvus,fēstīvum,I_II
fēsta,fēstus,fēstum,I_II
fētiālis,fētiālis,fētiāle,III
fētida,fētidus,fētidum,I_II
fēta,fētus,fētum,I_II
fictilis,fictilis,fictile,III
ficta,fictus,fictum,I_II
ficulna,ficulnus,ficulnum,I_II
fidēlis,fidēlis,fidēle,III
fīdēns,fīdēns,fīdēns,III
fīdūciāria,fīdūciārius,fīdūciārium,I_II
fīda,fīdus,fīdum,I_II
figurāta,figurātus,figurātum,I_II
filicāta,filicātus,filicātum,I_II
fīnitima,fīnitimus,fīnitimum,I_II
fīnīta,fīnītus,fīnītum,I_II
fīrma,fīrmus,fīrmum,I_II
fissilis,fissilis,fissile,III
fīxa,fīxus,fīxum,I_II
flābilis,flābilis,flābile,III
flacca,flaccus,flaccum,I_II
flāgitiōsa,flāgitiōsus,flāgitiōsum,I_II
flagrāns,flagrāns,flagrāns,III
flammea,flammeus,flammeum,I_II
flammifera,flammifer,flammiferum,I_II
flāvēns,flāvēns,flāvēns,III
flāva,flāvus,flāvum,I_II
flēbilis,flēbilis,flēbile,III
flexanima,flexanimus,flexanimum,I_II
flexibilis,flexibilis,flexibile,III
flexilis,flexilis,flexile,III
flexiloqua,flexiloquus,flexiloquum,I_II
flexipēs,flexipēs,flexipēs,III
flexuōsa,flexuōsus,flexuōsum,I_II
flexa,flexus,flexum,I_II
flōrēns,flōrēns,flōrēns,III
flōrea,flōreus,flōreum,I_II
flōridula,flōridulus,flōridulum,I_II
flōrida,flōridus,flōridum,I_II
flōrilega,flōrilegus,flōrilegum,I_II
flōra,flōrus,flōrum,I_II
fluēns,fluēns,fluēns,III
fluentisona,fluentisonus,fluentisonum,I_II
fluida,fluidus,fluidum,I_II
flūminea,flūmineus,flūmineum,I_II
fluviālis,fluviālis,fluviāle,III
fluviātilis,fluviātilis,fluviātile,III
fluxa,fluxus,fluxum,I_II
foederāta,foederātus,foederātum,I_II
foedifraga,foedifragus,foedifragum,I_II
foeda,foedus,foedum,I_II
fontāna,fontānus,fontānum,I_II
forābilis,forābilis,forābile,III
forda,fordus,fordum,I_II
forēnsis,forēnsis,forēnse,III
formīdābilis,formīdābilis,formīdābile,III
formīdulōsa,formīdulōsus,formīdulōsum,I_II
fōrmōsa,fōrmōsus,fōrmōsum,I_II
fornācālis,fornācālis,fornācāle,III
fornicāta,fornicātus,fornicātum,I_II
forticula,forticulus,forticulum,I_II
fortis,fortis,forte,III
fortuīta,fortuītus,fortuītum,I_II
fortūnāta,fortūnātus,fortūnātum,I_II
frācta,frāctus,frāctum,I_II
fragilis,fragilis,fragile,III
fragōsa,fragōsus,fragōsum,I_II
frāgrāns,frāgrāns,frāgrāns,III
frāterna,frāternus,frāternum,I_II
fraudulenta,fraudulentus,fraudulentum,I_II
fraxinea,fraxineus,fraxineum,I_II
fraxina,fraxinus,fraxinum,I_II
fremebunda,fremebundus,fremebundum,I_II
fremida,fremidus,fremidum,I_II
frequēns,frequēns,frequēns,III
frequentāta,frequentātus,frequentātum,I_II
fretēnsis,fretēnsis,fretēnse,III
frēta,frētus,frētum,I_II
frīgidula,frīgidulus,frīgidulum,I_II
frīgida,frīgidus,frīgidum,I_II
frīvola,frīvolus,frīvolum,I_II
frondea,frondeus,frondeum,I_II
frondōsa,frondōsus,frondōsum,I_II
frūctuōsa,frūctuōsus,frūctuōsum,I_II
frūgīa,frūgī,frūgīum,I_II
frūgifera,frūgifer,frūgiferum,I_II
frūgilega,frūgilegus,frūgilegum,I_II
frūmentāria,frūmentārius,frūmentārium,I_II
fruticōsa,fruticōsus,fruticōsum,I_II
fūcāta,fūcātus,fūcātum,I_II
fūcōsa,fūcōsus,fūcōsum,I_II
fugāx,fugāx,fugāx,III
fugienda,fugiendus,fugiendum,I_II
fugiēns,fugiēns,fugiēns,III
fugitāns,fugitāns,fugitāns,III
fugitīva,fugitīvus,fugitīvum,I_II
fulgēns,fulgēns,fulgēns,III
fulgurālis,fulgurālis,fulgurāle,III
fulminea,fulmineus,fulmineum,I_II
fulva,fulvus,fulvum,I_II
fūmea,fūmeus,fūmeum,I_II
fūmida,fūmidus,fūmidum,I_II
fūmifera,fūmifer,fūmiferum,I_II
fūmifica,fūmificus,fūmificum,I_II
fūmōsa,fūmōsus,fūmōsum,I_II
fundāta,fundātus,fundātum,I_II
fūnebris,fūnebris,fūnebre,III
fūnerea,fūnereus,fūnereum,I_II
fūnesta,fūnestus,fūnestum,I_II
fūrāta,fūrātus,fūrātum,I_II
fūrāx,fūrāx,fūrāx,III
furēns,furēns,furēns,III
furiālis,furiālis,furiāle,III
furiāta,furiātus,furiātum,I_II
furibunda,furibundus,furibundum,I_II
furiōsa,furiōsus,furiōsum,I_II
fūrtīva,fūrtīvus,fūrtīvum,I_II
furva,furvus,furvum,I_II
fusca,fuscus,fuscum,I_II
fūsilis,fūsilis,fūsile,III
fūsa,fūsus,fūsum,I_II
futtilis,futtilis,futtile,III
futūra,futūrus,futūrum,I_II
galbanea,galbaneus,galbaneum,I_II
galeāta,galeātus,galeātum,I_II
galērīta,galērītus,galērītum,I_II
gallīnācea,gallīnāceus,gallīnāceum,I_II
Galla,Gallus,Gallum,I_II
Gangētica,Gangēticus,Gangēticum,I_II
garrula,garrulus,garrulum,I_II
gaudēns,gaudēns,gaudēns,III
gelida,gelidus,gelidum,I_II
gemebunda,gemebundus,gemebundum,I_II
gemelliparaa,gemellipara,gemelliparaum,I_II
gemella,gemellus,gemellum,I_II
gemināta,geminātus,geminātum,I_II
gemina,geminus,geminum,I_II
gemmāns,gemmāns,gemmāns,III
gemmāta,gemmātus,gemmātum,I_II
gemmea,gemmeus,gemmeum,I_II
gemmifera,gemmifer,gemmiferum,I_II
generālis,generālis,generāle,III
generōsa,generōsus,generōsum,I_II
genetīva,genetīvus,genetīvum,I_II
geniālis,geniālis,geniāle,III
geniculāta,geniculātus,geniculātum,I_II
genitālis,genitālis,genitāle,III
gentica,genticus,genticum,I_II
gentīlīcia,gentīlīcius,gentīlīcium,I_II
gentīlis,gentīlis,gentīle,III
genuīna,genuīnus,genuīnum,I_II
genuīna,genuīnus,genuīnum,I_II
geōmetrica,geōmetricus,geōmetricum,I_II
gerēns,gerēns,gerēns,III
Germānica,Germānicus,Germānicum,I_II
germāna,germānus,germānum,I_II
gestiēns,gestiēns,gestiēns,III
Gigantēa,Gigantēus,Gigantēum,I_II
gilva,gilvus,gilvum,I_II
glabera,glaber,glaberum,I_II
glaciālis,glaciālis,glaciāle,III
gladiātōria,gladiātōrius,gladiātōrium,I_II
glandifera,glandifer,glandiferum,I_II
glāreōsa,glāreōsus,glāreōsum,I_II
glauca,glaucus,glaucum,I_II
globōsa,globōsus,globōsum,I_II
glōriōsa,glōriōsus,glōriōsum,I_II
gnāra,gnārus,gnārum,I_II
gracilis,gracilis,gracile,III
Graecula,Graeculus,Graeculum,I_II
Graeca,Graecus,Graecum,I_II
Grāia,Grāius,Grāium,I_II
grāminea,grāmineus,grāmineum,I_II
grammatica,grammaticus,grammaticum,I_II
grandaeva,grandaevus,grandaevum,I_II
grandicula,grandiculus,grandiculum,I_II
grandifera,grandifer,grandiferum,I_II
grandis,grandis,grande,III
grānifera,grānifer,grāniferum,I_II
grātiōsa,grātiōsus,grātiōsum,I_II
grātuīta,grātuītus,grātuītum,I_II
grātulābunda,grātulābundus,grātulābundum,I_II
grāta,grātus,grātum,I_II
gravēdinōsa,gravēdinōsus,gravēdinōsum,I_II
gravida,gravidus,gravidum,I_II
gravis,gravis,grave,III
gregālis,gregālis,gregāle,III
gregāria,gregārius,gregārium,I_II
gulōsa,gulōsus,gulōsum,I_II
gymnica,gymnicus,gymnicum,I_II
gypsāta,gypsātus,gypsātum,I_II
habēns,habēns,habēns,III
habilis,habilis,habile,III
habitābilis,habitābilis,habitābile,III
habita,habitus,habitum,I_II
haedīna,haedīnus,haedīnum,I_II
haesitāns,haesitāns,haesitāns,III
hāmāta,hāmātus,hāmātum,I_II
harēnōsa,harēnōsus,harēnōsum,I_II
harundifera,harundifer,harundiferum,I_II
harundinea,harundineus,harundineum,I_II
harundinōsa,harundinōsus,harundinōsum,I_II
haruspicīna,haruspicīnus,haruspicīnum,I_II
hastāta,hastātus,hastātum,I_II
hebes,hebes,hebes,III
hederigera,hederiger,hederigerum,I_II
hederōsa,hederōsus,hederōsum,I_II
herbēscēns,herbēscēns,herbēscēns,III
herbida,herbidus,herbidum,I_II
herbifera,herbifer,herbiferum,I_II
herbigrada,herbigradus,herbigradum,I_II
herbōsa,herbōsus,herbōsum,I_II
Herculea,Herculeus,Herculeum,I_II
hērēditāria,hērēditārius,hērēditārium,I_II
hērōica,hērōicus,hērōicum,I_II
hērōa,hērōus,hērōum,I_II
Hesperia,Hesperius,Hesperium,I_II
hesterna,hesternus,hesternum,I_II
hexametera,hexameter,hexameterum,I_II
hīberna,hībernus,hībernum,I_II
hiemālis,hiemālis,hiemāle,III
hilaris,hilaris,hilare,III
hilarula,hilarulus,hilarulum,I_II
hilara,hilarus,hilarum,I_II
hīrcīna,hīrcīnus,hīrcīnum,I_II
hīrsūta,hīrsūtus,hīrsūtum,I_II
hīrta,hīrtus,hīrtum,I_II
hīspida,hīspidus,hīspidum,I_II
historica,historicus,historicum,I_II
histriōnālis,histriōnālis,histriōnāle,III
hiulca,hiulcus,hiulcum,I_II
hodierna,hodiernus,hodiernum,I_II
honesta,honestus,honestum,I_II
honōrābilis,honōrābilis,honōrābile,III
honōrāria,honōrārius,honōrārium,I_II
honōrāta,honōrātus,honōrātum,I_II
honōrifica,honōrificus,honōrificum,I_II
honōra,honōrus,honōrum,I_II
hōrnōtina,hōrnōtinus,hōrnōtinum,I_II
hōrna,hōrnus,hōrnum,I_II
horrenda,horrendus,horrendum,I_II
horrēns,horrēns,horrēns,III
