nominative,genitive,gender,declension
perductor,perductōris,m,III
perduelliō,perduelliōnis,f,III
perduellis,perduellis,m,III
peregrīnātiō,peregrīnātiōnis,f,III
peregrīnātor,peregrīnātōris,m,III
peregrīnitās,peregrīnitātis,f,III
perennitās,perennitātis,f,III
perfectiō,perfectiōnis,f,III
perfector,perfectōris,m,III
perfidia,perfidiae,f,I
perfuga,perfugae,m,I
perfugium,perfugiī,n,II
perfūnctiō,perfūnctiōnis,f,III
pergula,pergulae,f,I
perīclitātiō,perīclitātiōnis,f,III
perīculum,perīculī,n,II
periscelis,periscelidis,f,III
peristȳlum,peristȳlī,n,II
perītia,perītiae,f,I
periūrium,periūriī,n,II
permānsiō,permānsiōnis,f,III
permissiō,permissiōnis,f,III
permīxtiō,permīxtiōnis,f,III
permōtiō,permōtiōnis,f,III
permūtātiō,permūtātiōnis,f,III
perna,pernae,f,I
pernīcitās,pernīcitātis,f,III
pērō,pērōnis,m,III
perōrātiō,perōrātiōnis,f,III
perpendiculum,perpendiculī,n,II
perpessiō,perpessiōnis,f,III
perpetuitās,perpetuitātis,f,III
perpōtātiō,perpōtātiōnis,f,III
perrogātiō,perrogātiōnis,f,III
persalūtātiō,persalūtātiōnis,f,III
perscrīptiō,perscrīptiōnis,f,III
perscrīptor,perscrīptōris,m,III
Persēs,Persēsae,m,I
persevērantia,persevērantiae,f,I
persōna,persōnae,f,I
perspicientia,perspicientiae,f,I
perspicuitās,perspicuitātis,f,III
persuāsiō,persuāsiōnis,f,III
pertica,perticae,f,I
pertinācia,pertināciae,f,I
pertrāctātiō,pertrāctātiōnis,f,III
perturbātiō,perturbātiōnis,f,III
perturbātrīx,perturbātrīīcis,f,III
perversitās,perversitātis,f,III
pervestīgātiō,pervestīgātiōnis,f,III
pervicācia,pervicāciae,f,I
pervigilātiō,pervigilātiōnis,f,III
pervigilium,pervigiliī,n,II
pēs,ppedis,m,III
pessulus,pessulī,m,II
pestilentia,pestilentiae,f,I
pestis,pestis,f,III
petasunculus,petasunculī,m,II
petaurum,petaurī,n,II
petītiō,petītiōnis,f,III
petītor,petītōris,m,III
petorritum,petorritī,n,II
petra,petrae,f,I
petulantia,petulantiae,f,I
Phaeāx,Phaeāācis,m,III
phager,phagerī,m,II
phalanx,phalanangis,f,III
phalārica,phalāricae,f,I
Phantasos,Phantasosī,m,II
pharetra,pharetrae,f,I
pharmacopōla,pharmacopōlae,m,I
Pharos,Pharosī,f,II
phasēlus,phasēlī,f,II
phasma,phasmaatis,n,III
phiala,phialae,f,I
Philippus,Philippī,m,II
philologia,philologiae,f,I
Philomēla,Philomēlae,f,I
philosophia,philosophiae,f,I
philtrum,philtrī,n,II
philyra,philyrae,f,I
phīmus,phīmī,m,II
Phlegethōn,Phlegethōnontis,m,III
phōca,phōcae,f,I
Phoebas,Phoebaadis,f,III
Phoebigena,Phoebigenae,m,I
Phoebus,Phoebī,m,II
phoenīcopterus,phoenīcopterī,m,II
phoenīx,phoenīīcis,m,III
phrenēsis,phrenēsis,f,III
phrenēticus,phrenēticī,m,II
phthisis,phthisis,f,III
phȳlarchus,phȳlarchī,m,II
physica,physicae,f,I
physiognōmōn,physiognōmōnonis,m,III
physiologia,physiologiae,f,I
piāculum,piāculī,n,II
piāmen,piāmeninis,n,III
pīca,pīcae,f,I
picāria,picāriae,f,I
picea,piceae,f,I
pictor,pictōris,m,III
pictūra,pictūrae,f,I
pīcus,pīcī,m,II
Pīeris,Pīeridis,f,III
pietās,pietātis,f,III
pīgmentārius,pīgmentāriī,m,II
pīgmentum,pīgmentī,n,II
pīgnerātor,pīgnerātōris,m,III
pīgnus,pīgnuorisanderis,n,III
pigritia,pigritiae,f,I
pīla,pīlae,f,I
pīla,pīlae,f,I
pila,pilae,f,I
pīlānus,pīlānī,m,II
pīlentum,pīlentī,n,II
pilleus,pilleī,m,II
pīlum,pīlī,n,II
Pīlumnus,Pīlumnī,m,II
pilus,pilī,m,II
pīlus,pīlī,m,II
pīna,pīnae,f,I
pīnētum,pīnētī,n,II
pinna,pinnae,f,I
pinnirapus,pinnirapī,m,II
pīnotērēs,pīnotērēsae,m,I
piper,piperperis,n,III
pīrāta,pīrātae,m,I
pirum,pirī,n,II
pirus,pirī,f,II
piscātor,piscātōris,m,III
pisciculus,pisciculī,m,II
piscīna,piscīnae,f,I
piscīnārius,piscīnāriī,m,II
piscis,piscis,m,III
pīstor,pīstōris,m,III
pīstrīlla,pīstrīllae,f,I
pīstrīnum,pīstrīnī,n,II
pīstrīx,pīstrīīcis,f,III
pix,pipicis,f,III
plācābilitās,plācābilitātis,f,III
plācāmen,plācāmeninis,n,III
plācāmentum,plācāmentī,n,II
placenta,placentae,f,I
plāga,plāgae,f,I
plaga,plagae,f,I
plagiārius,plagiāriuīs,m,III
plagula,plagulae,f,I
planctus,planctūs,m,IV
plangor,plangōris,m,III
planguncula,plangunculae,f,I
plānipēs,plānippedis,m,III
planta,plantae,f,I
planus,planī,m,II
platalea,plataleae,f,I
platanus,platanī,f,II
platea,plateae,f,I
plausor,plausōris,m,III
plaustrum,plaustrī,n,II
plausus,plausūs,m,IV
plēbēcula,plēbēculae,f,I
plēbicola,plēbicolae,m,I
plēbs,plēbplēbis,f,III
plēctrum,plēctrī,n,II
Plēïas,Plēïaadis,f,III
plōrātus,plōrātūs,m,IV
plōstellum,plōstellī,n,II
ploxemum,ploxemī,n,II
plūma,plūmae,f,I
plumbum,plumbī,n,II
pluteus,pluteī,m,II
pluvia,pluviae,f,I
pōcillum,pōcillī,n,II
pōculum,pōculī,n,II
podagra,podagrae,f,I
pōdex,pōdeicis,m,III
podium,podiī,n,II
poēma,poēmaatis,n,III
poena,poenae,f,I
poēsis,poēsis,f,III
poēta,poētae,m,I
poētica,poēticae,f,I
poētria,poētriae,f,I
polenta,polentae,f,I
polītīa,polītīae,f,I
pollex,polleicis,m,III
pollicitātiō,pollicitātiōnis,f,III
pollicitum,pollicitī,n,II
Pollūx,Pollūūcis,m,III
polus,polī,m,II
Polyhymnia,Polyhymniae,f,I
polypus,polypī,m,II
pōmērium,pōmēriī,n,II
Pōmōna,Pōmōnae,f,I
pompa,pompae,f,I
pompilus,pompilī,m,II
pōmum,pōmī,n,II
pōmus,pōmī,f,II
pondus,pondueris,n,III
pōns,pōnontis,m,III
ponticulus,ponticulī,m,II
pontificātus,pontificātūs,m,IV
pontō,pontōnis,m,III
pontus,pontī,m,II
popa,popae,m,I
popanum,popanī,n,II
popellus,popellī,m,II
popīna,popīnae,f,I
popīnō,popīnōnis,m,III
poples,popleitis,m,III
poppysma,poppysmaatis,n,III
populāritās,populāritātis,f,III
populātiō,populātiōnis,f,III
populātor,populātōris,m,III
populus,populī,m,II
pōpulus,pōpulī,f,II
porca,porcae,f,I
porcellus,porcellī,m,II
porcus,porcī,m,II
porrēctiō,porrēctiōnis,f,III
porrīgō,porrīginis,f,III
porrum,porrī,n,II
porta,portae,f,I
portātiō,portātiōnis,f,III
portentum,portentī,n,II
porticula,porticulae,f,I
porticus,porticūs,f,IV
portiō,portiōnis,f,III
portitor,portitōris,m,III
portitor,portitōris,m,III
portōrium,portōriī,n,II
portula,portulae,f,I
Portūnus,Portūnī,m,II
portus,portūs,m,IV
positiō,positiōnis,f,III
positor,positōris,m,III
possessiō,possessiōnis,f,III
possessiuncula,possessiunculae,f,I
possessor,possessōris,m,III
posteritās,posteritātis,f,III
postiliō,postiliōnis,f,III
postis,postis,m,III
postlīminium,postlīminiī,n,II
postulātiō,postulātiōnis,f,III
postulātum,postulātī,n,II
potentātus,potentātūs,m,IV
potentia,potentiae,f,I
potestās,potestātis,f,III
pōtiō,pōtiōnis,f,III
pōtor,pōtōris,m,III
pōtrīx,pōtrīīcis,f,III
pōtus,pōtūs,m,IV
praebitor,praebitōris,m,III
praecentiō,praecentiōnis,f,III
praeceptiō,praeceptiōnis,f,III
praeceptor,praeceptōris,m,III
praeceptrīx,praeceptrīīcis,f,III
praeceptum,praeceptī,n,II
praecō,praecōnis,m,III
praecōnium,praecōniī,n,II
praecurrentia,praecurrentiaium,n,II
praecursiō,praecursiōnis,f,III
praecursor,praecursōris,m,III
praeda,praedae,f,I
praedātiō,praedātiōnis,f,III
praedātor,praedātōris,m,III
praediātor,praediātōris,m,III
praedicātiō,praedicātiōnis,f,III
praedicātor,praedicātōris,m,III
praedictiō,praedictiōnis,f,III
praedictum,praedictī,n,II
praediolum,praediolī,n,II
praedium,praediī,n,II
praedō,praedōnis,m,III
praefātiō,praefātiōnis,f,III
praefectūra,praefectūrae,f,I
praefectus,praefectī,m,II
praegressiō,praegressiōnis,f,III
praegustātor,praegustātōris,m,III
praeiūdicium,praeiūdiciī,n,II
praemeditātiō,praemeditātiōnis,f,III
praemium,praemiī,n,II
praemolestia,praemolestiae,f,I
praemonitus,praemonitūs,m,IV
praemōnstrātor,praemōnstrātōris,m,III
praemūnītiō,praemūnītiōnis,f,III
praenōmen,praenōmeninis,n,III
praenōtiō,praenōtiōnis,f,III
praenūntia,praenūntiae,f,I
praeoccupātiō,praeoccupātiōnis,f,III
praeparātiō,praeparātiōnis,f,III
praepositiō,praepositiōnis,f,III
praepositus,praepositī,m,II
praepūtium,praepūtiī,n,II
praes,praepraedis,m,III
praesaepe,praesaepeis,n,III
praesāgītiō,praesāgītiōnis,f,III
praesāgium,praesāgiī,n,II
praescrīptiō,praescrīptiōnis,f,III
praescrīptum,praescrīptī,n,II
praesēnsiō,praesēnsiōnis,f,III
praesentia,praesentiae,f,I
praeses,praeseidis,m,III
praesidēns,praesidēnentis,m,III
praesidium,praesidiī,n,II
praestantia,praestantiae,f,I
praestes,praesteitis,m,III
praesul,praesulsulis,m,III
praesultātor,praesultātōris,m,III
praetermissiō,praetermissiōnis,f,III
praetervectiō,praetervectiōnis,f,III
praetexta,praetextae,f,I
praetextum,praetextī,n,II
praetor,praetōris,m,III
praetōrium,praetōriī,n,II
praetūra,praetūrae,f,I
praevāricātiō,praevāricātiōnis,f,III
praevāricātor,praevāricātōris,m,III
prandium,prandiī,n,II
prātum,prātī,n,II
prāvitās,prāvitātis,f,III
precātiō,precātiōnis,f,III
precātor,precātōris,m,III
prēlum,prēlī,n,II
prēnsātiō,prēnsātiōnis,f,III
pressiō,pressiōnis,f,III
pressus,pressūs,m,IV
pretium,pretiī,n,II
Priāpus,Priāpī,m,II
Prīmigenia,Prīmigeniae,f,I
prīmipīlāris,prīmipīlāris,m,III
prīmipīlus,prīmipīlī,m,II
prīncipātus,prīncipātūs,m,IV
prīncipium,prīncipiī,n,II
prīvantia,prīvantiaium,n,II
prīvātiō,prīvātiōnis,f,III
prīvīgna,prīvīgnae,f,I
prīvīgnus,prīvīgnī,m,II
prīvilēgium,prīvilēgiī,n,II
proāgorus,proāgorī,m,II
proavus,proavī,m,II
probābilitās,probābilitātis,f,III
probātiō,probātiōnis,f,III
probātor,probātōris,m,III
probitās,probitātis,f,III
probrum,probrī,n,II
procācitās,procācitātis,f,III
procella,procellae,f,I
prōcēritās,prōcēritātis,f,III
prōcessiō,prōcessiōnis,f,III
prōcessus,prōcessūs,m,IV
prōclāmātor,prōclāmātōris,m,III
prōclīvitās,prōclīvitātis,f,III
prōcōnsul,prōcōnsulis,m,III
prōcōnsulātus,prōcōnsulātūs,m,IV
prōcrāstinatiō,prōcrāstinatiōnis,f,III
prōcreātiō,prōcreātiōnis,f,III
prōcreātor,prōcreātōris,m,III
prōcreātrīx,prōcreātrīīcis,f,III
prōcūrātiō,prōcūrātiōnis,f,III
prōcūrātrīx,prōcūrātrīīcis,f,III
prōcursātiō,prōcursātiōnis,f,III
prōcursātorēs,prōcursātorōris,m,III
procus,procī,m,II
prōdigentia,prōdigentiae,f,I
prōdigium,prōdigiī,n,II
prōditiō,prōditiōnis,f,III
prōditor,prōditōris,m,III
prodromos,prodromosī,m,II
prōductiō,prōductiōnis,f,III
proeliātor,proeliātōris,m,III
proelium,proeliī,n,II
profectiō,profectiōnis,f,III
professiō,professiōnis,f,III
prōflīgātor,prōflīgātōris,m,III
prōfluentia,prōfluentiae,f,I
profundum,profundī,n,II
prōgener,prōgenerī,m,II
prōgenitor,prōgenitōris,m,III
prōgressiō,prōgressiōnis,f,III
prōgressus,prōgressūs,m,IV
prohibitiō,prohibitiōnis,f,III
prōiectiō,prōiectiōnis,f,III
prōlapsiō,prōlapsiōnis,f,III
prōlātiō,prōlātiōnis,f,III
prōlēs,prōlis,f,III
prōlogus,prōlogī,m,II
prōlubium,prōlubiī,n,II
prōlūsiō,prōlūsiōnis,f,III
prōmeritum,prōmeritī,n,II
prōmissiō,prōmissiōnis,f,III
prōmissor,prōmissōris,m,III
prōmissum,prōmissī,n,II
prōmulgātio,prōmulgātioōnis,f,III
prōmulsis,prōmulsidis,f,III
prōmunturium,prōmunturiī,n,II
prōmus,prōmī,m,II
pronepōs,pronepōōtis,m,III
pronoea,pronoeae,f,I
prōnuba,prōnubae,f,I
prōnūntiātiō,prōnūntiātiōnis,f,III
prōnūntiātor,prōnūntiātōris,m,III
prōnūntiātum,prōnūntiātī,n,II
prōnurus,prōnurūs,f,IV
prooemium,prooemiī,n,II
prōpāgātiō,prōpāgātiōnis,f,III
prōpāgātor,prōpāgātōris,m,III
prōpāgō,prōpāginis,f,III
prōpēnsiō,prōpēnsiōnis,f,III
properantia,properantiae,f,I
properātiō,properātiōnis,f,III
propinquitās,propinquitātis,f,III
propōla,propōlae,m,I
prōportiō,prōportiōnis,f,III
prōpositiō,prōpositiōnis,f,III
prōpositum,prōpositī,n,II
prōpraetor,prōpraetōris,m,III
proprietās,proprietātis,f,III
propudium,propudiī,n,II
prōpūgnāculum,prōpūgnāculī,n,II
prōpūgnātiō,prōpūgnātiōnis,f,III
prōpūgnātor,prōpūgnātōris,m,III
prōpulsātiō,prōpulsātiōnis,f,III
prōra,prōrae,f,I
prōrogātiō,prōrogātiōnis,f,III
prōsāpia,prōsāpiae,f,I
proscaenium,proscaeniī,n,II
prōscrīptiō,prōscrīptiōnis,f,III
prōscrīptus,prōscrīptī,m,II
proseucha,proseuchae,f,I
prōspectus,prōspectūs,m,IV
prōsperitās,prōsperitātis,f,III
prōspicientia,prōspicientiae,f,I
protervitās,protervitātis,f,III
prōventus,prōventūs,m,IV
prōverbium,prōverbiī,n,II
prōvidentia,prōvidentiae,f,I
prōvincia,prōvinciae,f,I
prōvīsiō,prōvīsiōnis,f,III
prōvīsor,prōvīsōris,m,III
prōvocātiō,prōvocātiōnis,f,III
prōvocātor,prōvocātōris,m,III
proximitās,proximitātis,f,III
prūdentia,prūdentiae,f,I
pruīna,pruīnae,f,I
prūna,prūnae,f,I
prūnum,prūnī,n,II
prūnus,prūnī,f,II
prytanēum,prytanēī,n,II
prytanis,prytanis,m,III
psaltērium,psaltēriī,n,II
psaltria,psaltriae,f,I
psēphisma,psēphismaatis,n,III
pseudomenos,pseudomenosī,m,II
pseudothyrum,pseudothyrī,n,II
psittacus,psittacī,m,II
psȳchomantīum,psȳchomantīī,n,II
ptisanārium,ptisanāriī,n,II
pūbertās,pūbertātis,f,III
pūbēs,pūbis,f,III
pūblicātiō,pūblicātiōnis,f,III
pudīcitia,pudīcitiae,f,I
pudor,pudōris,m,III
puella,puellae,f,I
puellula,puellulae,f,I
puerperium,puerperiī,n,II
puerulus,puerulī,m,II
pūga,pūgae,f,I
pugil,pugililis,m,III
pugillātiō,pugillātiōnis,f,III
pūgiō,pūgiōnis,m,III
pūgiunculus,pūgiunculī,m,II
pūgna,pūgnae,f,I
pūgnācitās,pūgnācitātis,f,III
pūgnantēs,pūgnantēsium,m,II
pūgnantia,pūgnantiaium,n,II
pūgnātor,pūgnātōris,m,III
pūgnus,pūgnī,m,II
pulchritūdō,pulchritūdinis,f,III
pūlēium,pūlēiī,n,II
pullārius,pullāriī,m,II
pullus,pullī,m,II
pulmentārium,pulmentāriī,n,II
pulmentum,pulmentī,n,II
pūlmō,pūlmōnis,m,III
pulpāmentum,pulpāmentī,n,II
puls,pulpultis,f,III
pulsātiō,pulsātiōnis,f,III
pulsus,pulsūs,m,IV
pulvillus,pulvillī,m,II
pulvīnar,pulvīnarāris,n,III
pulvīnārium,pulvīnāriī,n,II
pulvīnus,pulvīnī,m,II
pulvis,pulveris,m,III
pūmex,pūmeicis,m,III
punctum,punctī,n,II
pūnītor,pūnītōris,m,III
pūpilla,pūpillae,f,I
pūpillus,pūpillī,m,II
puppis,puppis,f,III
pūpula,pūpulae,f,I
pūpulus,pūpulī,m,II
pūrgātiō,pūrgātiōnis,f,III
purpura,purpurae,f,I
purpurātus,purpurātī,m,II
pūs,ppūris,n,III
pūsiō,pūsiōnis,m,III
pūstula,pūstulae,f,I
putāmen,putāmeninis,n,III
putātiō,putātiōnis,f,III
putātor,putātōris,m,III
puteal,putealālis,n,III
puteārius,puteāriī,m,II
puteus,puteī,m,II
pyctēs,pyctēsae,m,I
pȳgargus,pȳgargī,m,II
pyra,pyrae,f,I
pȳramis,pȳramīdis,f,III
pyrethrum,pyrethrī,n,II
pyrōpus,pyrōpī,m,II
Pȳthia,Pȳthiae,f,I
pȳtisma,pȳtismaatis,n,III
pyxis,pyxidis,f,III
quadra,quadrae,f,I
quadrāns,quadrānantis,m,III
quadrātum,quadrātī,n,II
quadrīduum,quadrīduī,n,II
quadriennium,quadrienniī,n,II
quadrivium,quadriviī,n,II
quadrum,quadrī,n,II
quadruplātor,quadruplātōris,m,III
quadruplum,quadruplī,n,II
quaesītiō,quaesītiōnis,f,III
quaesītor,quaesītōris,m,III
quaesticulus,quaesticulī,m,II
quaestiō,quaestiōnis,f,III
quaestiuncula,quaestiunculae,f,I
quaestor,quaestōris,m,III
quaestūra,quaestūrae,f,I
quaestus,quaestūs,m,IV
quālitās,quālitātis,f,III
quālus,quālī,m,II
quartārius,quartāriī,m,II
quasillum,quasillī,n,II
quassātiō,quassātiōnis,f,III
quercus,quercūs,f,IV
querella,querellae,f,I
querimōnia,querimōniae,f,I
questiō,questiōnis,f,III
questus,questūs,m,IV
quiēs,quiētis,f,III
quīncunx,quīncununcis,m,III
quīnquennium,quīnquenniī,n,II
quīnquevir,quīnquevirī,m,II
Quirīnus,Quirīnī,m,II
Quiris,Quirītis,m,III
quirītātiō,quirītātiōnis,f,III
rabula,rabulae,m,I
racēmus,racēmī,m,II
rādīcula,rādīculae,f,I
radius,radiī,m,II
rādīx,rādīīcis,f,III
raedārius,raedāriī,m,II
rāmālia,rāmāliaium,n,II
rāmex,rāmeicis,m,III
Ramnēnsēs,Ramnēnsēsium,m,II
rāmulus,rāmulī,m,II
rāmus,rāmī,m,II
rāna,rānae,f,I
rānunculus,rānunculī,m,II
rapācitās,rapācitātis,f,III
raphanus,raphanī,m,II
rapiditās,rapiditātis,f,III
rapīna,rapīnae,f,I
rapta,raptae,f,I
raptiō,raptiōnis,f,III
raptor,raptōris,m,III
raptum,raptī,n,II
rāpulum,rāpulī,n,II
rāritās,rāritātis,f,III
rāstrum,rāstrī,n,II
ratiō,ratiōnis,f,III
ratiōcinātiō,ratiōcinātiōnis,f,III
ratiōcinātor,ratiōcinātōris,m,III
ratis,ratis,f,III
ratiuncula,ratiunculae,f,I
raudusculum,raudusculī,n,II
rebellātiō,rebellātiōnis,f,III
rebellātrīx,rebellātrīīcis,f,III
rebelliō,rebelliōnis,f,III
rebellium,rebelliī,n,II
recēnsiō,recēnsiōnis,f,III
receptāculum,receptāculī,n,II
receptor,receptōris,m,III
receptrīx,receptrīīcis,f,III
receptum,receptī,n,II
receptus,receptūs,m,IV
recessus,recessūs,m,IV
recitātiō,recitātiōnis,f,III
recitātor,recitātōris,m,III
reclāmātiō,reclāmātiōnis,f,III
recōgnitiō,recōgnitiōnis,f,III
reconciliātiō,reconciliātiōnis,f,III
reconciliātor,reconciliātōris,m,III
recordātiō,recordātiōnis,f,III
rēctiō,rēctiōnis,f,III
rēctor,rēctōris,m,III
rēctum,rēctī,n,II
recuperātiō,recuperātiōnis,f,III
recuperātor,recuperātōris,m,III
recursus,recursūs,m,IV
recūsātiō,recūsātiōnis,f,III
redēmptiō,redēmptiōnis,f,III
redēmptor,redēmptōris,m,III
redēmptūra,redēmptūrae,f,I
redimīculum,redimīculī,n,II
reditiō,reditiōnis,f,III
reditus,reditūs,m,IV
reductiō,reductiōnis,f,III
reductor,reductōris,m,III
redundantia,redundantiae,f,I
reduvia,reduviae,f,I
reformīdātiō,reformīdātiōnis,f,III
refrīgerātiō,refrīgerātiōnis,f,III
refugium,refugiī,n,II
refūtātiō,refūtātiōnis,f,III
regēns,regēnentis,m,III
rēgia,rēgiae,f,I
regimen,regimeninis,n,III
rēgīna,rēgīnae,f,I
regiō,regiōnis,f,III
rēgnātor,rēgnātōris,m,III
rēgnum,rēgnī,n,II
regressus,regressūs,m,IV
rēgula,rēgulae,f,I
rēgulus,rēgulī,m,II
rēiectiō,rēiectiōnis,f,III
relātiō,relātiōnis,f,III
relātus,relātūs,m,IV
relaxātiō,relaxātiōnis,f,III
relēgātio,relēgātioōnis,f,III
relictiō,relictiōnis,f,III
religātiō,religātiōnis,f,III
remānsiō,remānsiōnis,f,III
remedium,remediī,n,II
rēmex,rēmeigis,m,III
rēmigātiō,rēmigātiōnis,f,III
rēmigium,rēmigiī,n,II
remissiō,remissiōnis,f,III
remōtiō,remōtiōnis,f,III
remūnerātiō,remūnerātiōnis,f,III
rēmus,rēmī,m,II
rēnō,rēnōnis,m,III
renovāmen,renovāmeninis,n,III
renovātiō,renovātiōnis,f,III
renūntiātiō,renūntiātiōnis,f,III
repastinātiō,repastinātiōnis,f,III
repertor,repertōris,m,III
repetītiō,repetītiōnis,f,III
repetītor,repetītōris,m,III
replicātiō,replicātiōnis,f,III
repostor,repostōris,m,III
repraesentātiō,repraesentātiōnis,f,III
reprehēnsiō,reprehēnsiōnis,f,III
reprehēnsor,reprehēnsōris,m,III
repressor,repressōris,m,III
reprōmissiō,reprōmissiōnis,f,III
repudiātiō,repudiātiōnis,f,III
repudium,repudiī,n,II
repūgnantia,repūgnantiae,f,I
repulsa,repulsae,f,I
reputātiō,reputātiōnis,f,III
rēs,rēsreī,f,V
rēscrīptum,rēscrīptī,n,II
respectus,respectūs,m,IV
respersiō,respersiōnis,f,III
respīrāmen,respīrāmeninis,n,III
respīrātiō,respīrātiōnis,f,III
respōnsiō,respōnsiōnis,f,III
respōnsum,respōnsī,n,II
resticula,resticulae,f,I
restinctiō,restinctiōnis,f,III
restipulātiō,restipulātiōnis,f,III
restis,restis,f,III
restitūtiō,restitūtiōnis,f,III
restitūtor,restitūtōris,m,III
retardātiō,retardātiōnis,f,III
rēte,rēteis,n,III
retentiō,retentiōnis,f,III
rētiārius,rētiāriī,m,II
reticentia,reticentiae,f,I
rēticulum,rēticulī,n,II
retrāctātiō,retrāctātiōnis,f,III
reverentia,reverentiae,f,I
reversiō,reversiōnis,f,III
revocāmen,revocāmeninis,n,III
revocātiō,revocātiōnis,f,III
rēx,rērēgis,m,III
rhapsōdia,rhapsōdiae,f,I
Rhea,Rheae,f,I
rhētor,rhētoris,m,III
rhētorica,rhētoricae,f,I
rhīnocerōs,rhīnocerōōtis,m,III
rhombus,rhombī,m,II
rīcīnium,rīcīniī,n,II
rictum,rictī,n,II
rictus,rictūs,m,IV
rigor,rigōris,m,III
rīma,rīmae,f,I
rīpa,rīpae,f,I
rīpula,rīpulae,f,I
riscus,riscī,m,II
rīsor,rīsōris,m,III
rīsus,rīsūs,m,IV
rītus,rītūs,m,IV
rīvālis,rīvālis,m,III
rīvālitās,rīvālitātis,f,III
rīvulus,rīvulī,m,II
rīvus,rīvī,m,II
rixa,rixae,f,I
rōbīgō,rōbīginis,f,III
rōbur,rōburoris,n,III
rogātiō,rogātiōnis,f,III
rōgātiuncula,rōgātiunculae,f,I
rogator,rogatōris,m,III
rogātum,rogātī,n,II
rogus,rogī,m,II
Rōma,Rōmae,f,I
rōs,rōrōris,m,III
rosa,rosae,f,I
rosārium,rosāriī,n,II
rosētum,rosētī,n,II
rōstrum,rōstrī,n,II
rota,rotae,f,I
rubēta,rubētae,f,I
rubor,rubōris,m,III
rubrīca,rubrīcae,f,I
rubus,rubī,m,II
rūctus,rūctūs,m,IV
rudēns,rudēnentis,m,III
rudīmentum,rudīmentī,n,II
rudis,rudis,f,III
rūdus,rūdueris,n,III
Rufulus,Rufulī,m,II
rūga,rūgae,f,I
ruīna,ruīnae,f,I
rūmīnātiō,rūmīnātiōnis,f,III
rūmor,rūmōris,m,III
rumpīa,rumpīae,f,I
rūmusculus,rūmusculī,m,II
rūpēs,rūpis,f,III
ruptor,ruptōris,m,III
rūricola,rūricolae,m,I
rūrigena,rūrigenae,m,I
rūs,rrūris,n,III
rūsticātiō,rūsticātiōnis,f,III
rūsticitās,rūsticitātis,f,III
rūsticulus,rūsticulī,m,II
rūta,rūtae,f,I
rūtrum,rūtrī,n,II
rūtula,rūtulae,f,I
sabulum,sabulī,n,II
saburra,saburrae,f,I
sacculus,sacculī,m,II
saccus,saccī,m,II
sacellum,sacellī,n,II
sacerdōs,sacerdōōtis,m,III
sacerdōtium,sacerdōtiī,n,II
sacrāmentum,sacrāmentī,n,II
sacrārium,sacrāriī,n,II
sacricola,sacricolae,m,I
sacrificātiō,sacrificātiōnis,f,III
sacrificium,sacrificiī,n,II
sacrificulus,sacrificulī,m,II
sacrilegium,sacrilegiī,n,II
sacrum,sacrī,n,II
saepīmentum,saepīmentī,n,II
saeta,saetae,f,I
saevitia,saevitiae,f,I
sāga,sāgae,f,I
sagācitās,sagācitātis,f,III
sagīna,sagīnae,f,I
sagitta,sagittae,f,I
sagittārius,sagittāriī,m,II
Sagittipotēns,Sagittipotēnentis,m,III
sāgmen,sāgmeninis,n,III
sagulum,sagulī,n,II
sagum,sagī,n,II
salacō,salacōnis,m,III
salapūtium,salapūtiī,n,II
salārium,salāriī,n,II
salebra,salebrae,f,I
salictum,salictī,n,II
salientēs,salientēsium,f,II
salīllum,salīllī,n,II
salīnum,salīnī,n,II
saliunca,saliuncae,f,I
salīva,salīvae,f,I
salix,saliicis,f,III
Salmacis,Salmacidis,f,III
salpa,salpae,f,I
salsāmentum,salsāmentī,n,II
saltātiō,saltātiōnis,f,III
saltātor,saltātōris,m,III
saltātrīx,saltātrīīcis,f,III
saltus,saltūs,m,IV
salūbritās,salūbritātis,f,III
salūs,salūtis,f,III
salūtātiō,salūtātiōnis,f,III
salūtātor,salūtātōris,m,III
salūtātrīx,salūtātrīīcis,f,III
sambūcistria,sambūcistriae,f,I
Samnium,Samniī,n,II
Samos,Samosī,f,II
sānātiō,sānātiōnis,f,III
sānctimōnia,sānctimōniae,f,I
sānctiō,sānctiōnis,f,III
sānctitās,sānctitātis,f,III
sānctitūdō,sānctitūdinis,f,III
sānctor,sānctōris,m,III
Sancus,Sancī,m,II
sandalium,sandaliī,n,II
sandapila,sandapilae,f,I
sandȳx,sandȳīcis,f,III
sanguen,sangueninis,n,III
sānitās,sānitātis,f,III
sanna,sannae,f,I
sanniō,sanniōnis,m,III
sapa,sapae,f,I
sapientia,sapientiae,f,I
sapor,sapōris,m,III
sarcina,sarcinae,f,I
sarcinula,sarcinulae,f,I
sarculum,sarculī,n,II
sardonyx,sardonyychis,m,III
sargus,sargī,m,II
sarīsa,sarīsae,f,I
sarīsophoros,sarīsophorosī,m,II
sarmentum,sarmentī,n,II
sartāgō,sartāginis,f,III
satelles,satelleitis,m,III
satietās,satietātis,f,III
satiō,satiōnis,f,III
satisdatiō,satisdatiōnis,f,III
satisfactiō,satisfactiōnis,f,III
sator,satōris,m,III
satrapīa,satrapīae,f,I
saturitās,saturitātis,f,III
Sāturnālia,Sāturnāliaiōrum,n,II
Sāturnus,Sāturnī,m,II
satyrus,satyrī,m,II
sauciātiō,sauciātiōnis,f,III
